City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
127,Bethel,US,41.3712,-73.414,52.0,76,1,5.95,clear sky
128,Acarigua,VE,9.5545,-69.1956,78.8,69,96,13.8,overcast clouds
129,Borzya,RU,50.3833,116.5167,56.71,42,100,21.94,overcast clouds
130,Airai,TL,-8.9266,125.4092,68.7,46,38,2.82,scattered clouds
131,Crateus,BR,-5.1783,-40.6775,72.86,86,73,1.05,broken clouds
132,Margate,GB,51.3813,1.3862,43.0,70,10,4.0,clear sky
133,Culiacan,MX,24.7994,-107.3897,82.0,36,75,5.75,broken clouds
134,Chuy,UY,-33.6971,-53.4616,58.86,84,7,9.01,clear sky
135,Shieli,KZ,44.1667,66.75,55.72,41,6,11.27,clear sky
136,Salalah,OM,17.0151,54.0924,82.4,74,40,8.05,scattered clouds
137,Pisco,PE,-13.7,-76.2167,64.4,88,75,3.44,broken clouds
138,Faya,SA,18.3851,42.4509,60.8,59,40,7.65,light rain
139,Labuhan,ID,-6.8844,112.2051,81.19,78,0,10.25,clear sky
140,Rio Gallegos,AR,-51.6226,-69.2181,55.4,47,0,11.5,clear sky
141,Lukulu,ZM,-14.3707,23.242,64.0,71,72,5.97,broken clouds
142,Ternate,ID,0.8,127.4,84.11,70,57,4.81,broken clouds
143,Mana,GF,5.6592,-53.7767,77.32,89,100,9.82,overcast clouds
144,Marshall,US,34.3834,-86.3333,60.01,63,1,3.91,clear sky
145,Severo-Kurilsk,RU,50.6789,156.125,32.54,97,100,13.02,snow
146,Ixtapa,MX,20.7,-105.2,79.0,78,90,10.36,overcast clouds
147,Mehamn,NO,71.0357,27.8492,32.05,84,98,8.95,light snow
148,Tasiilaq,GL,65.6145,-37.6368,39.2,60,90,13.8,overcast clouds
149,Mizdah,LY,31.4451,12.9801,58.19,72,100,10.16,overcast clouds
150,Lavrentiya,RU,65.5833,-171.0,32.56,94,95,1.57,overcast clouds
151,Egvekinot,RU,66.3167,-179.1667,28.69,88,9,1.5,clear sky
152,Carmelo,UY,-33.9892,-58.2856,63.0,82,0,3.44,clear sky
